timestamp,raw_hex,command,battery,charging,ax,ay,az,roll,pitch,yaw,pressure,punch_count,reserved_1,reserved_2,crc8,crc8_calc,crc8_ok
2026-04-27 10:59:44.487,D5 5D 03 64 00 08 00 00 00 F6 00 B4 00 B0 00 C3 00 00 01 14 00 01 99,3,100,0,8,0,246,180,176,195,256,20,0,1,153,47,False
2026-04-27 10:59:44.548,D5 5D 03 64 00 09 00 00 00 F4 00 B3 00 AF 00 C4 00 00 01 14 00 01 99,3,100,0,9,0,244,179,175,196,256,20,0,1,153,135,False
2026-04-27 10:59:44.593,D5 5D 03 64 00 08 00 00 00 F6 00 B2 00 B0 00 C5 00 00 01 14 00 01 99,3,100,0,8,0,246,178,176,197,256,20,0,1,153,13,False
2026-04-27 10:59:44.653,D5 5D 03 64 00 0F 00 00 00 F8 00 B3 00 AF 00 C5 00 00 01 14 00 01 99,3,100,0,15,0,248,179,175,197,256,20,0,1,153,242,False
2026-04-27 10:59:44.698,D5 5D 03 64 00 10 00 00 00 F4 00 B3 00 AF 00 C6 00 00 01 14 00 01 99,3,100,0,16,0,244,179,175,198,256,20,0,1,153,195,False
2026-04-27 10:59:44.758,D5 5D 03 64 00 0A 00 00 00 F1 00 B3 00 AF 00 C5 00 00 01 14 00 01 99,3,100,0,10,0,241,179,175,197,256,20,0,1,153,84,False
2026-04-27 10:59:44.802,D5 5D 03 64 00 0E 00 00 00 F0 00 B3 00 AF 00 C5 00 00 01 14 00 01 99,3,100,0,14,0,240,179,175,197,256,20,0,1,153,193,False
2026-04-27 10:59:44.862,D5 5D 03 64 00 0A 00 00 00 F2 00 B3 00 AF 00 C4 00 00 01 14 00 01 99,3,100,0,10,0,242,179,175,196,256,20,0,1,153,201,False
2026-04-27 10:59:44.907,D5 5D 03 64 00 08 00 00 00 F6 00 B3 00 B0 00 C5 00 00 01 14 00 01 99,3,100,0,8,0,246,179,176,197,256,20,0,1,153,235,False
2026-04-27 10:59:44.982,D5 5D 03 64 00 10 00 00 00 F7 00 B2 00 AD 00 C5 00 00 01 14 00 01 99,3,100,0,16,0,247,178,173,197,256,20,0,1,153,0,False
2026-04-27 10:59:45.012,D5 5D 03 64 00 06 00 00 00 F3 00 B3 00 B1 00 C8 00 00 01 14 00 01 99,3,100,0,6,0,243,179,177,200,256,20,0,1,153,61,False
2026-04-27 10:59:45.073,D5 5D 03 64 00 0E 00 00 00 F8 00 B3 00 AF 00 C5 00 00 01 14 00 01 99,3,100,0,14,0,248,179,175,197,256,20,0,1,153,144,False
2026-04-27 10:59:45.118,D5 5D 03 64 00 06 00 00 00 F7 00 B3 00 B0 00 C4 00 00 01 14 00 01 99,3,100,0,6,0,247,179,176,196,256,20,0,1,153,16,False
2026-04-27 10:59:45.178,D5 5D 03 64 00 11 00 00 00 F8 00 B3 00 AF 00 C5 00 00 01 14 00 01 99,3,100,0,17,0,248,179,175,197,256,20,0,1,153,74,False
2026-04-27 10:59:45.237,D5 5D 03 64 00 0F 00 00 00 F9 00 B3 00 AF 00 C5 00 00 01 14 00 01 99,3,100,0,15,0,249,179,175,197,256,20,0,1,153,222,False
2026-04-27 10:59:45.282,D5 5D 03 64 00 10 00 00 00 F5 00 B3 00 AF 00 C5 00 00 01 14 00 01 99,3,100,0,16,0,245,179,175,197,256,20,0,1,153,229,False
2026-04-27 10:59:45.463,D5 5D 03 64 00 0B 00 00 00 FB 00 B4 00 B2 00 C6 00 00 01 14 00 01 99,3,100,0,11,0,251,180,178,198,256,20,0,1,153,1,False
2026-04-27 10:59:45.523,D5 5D 03 64 00 0D 00 00 00 FB 00 B3 00 B1 00 C6 00 00 01 14 00 01 99,3,100,0,13,0,251,179,177,198,256,20,0,1,153,66,False
2026-04-27 10:59:45.582,D5 5D 03 64 00 0B 00 00 00 F9 00 B2 00 AF 00 C7 00 00 01 14 00 01 99,3,100,0,11,0,249,178,175,199,256,20,0,1,153,98,False
2026-04-27 10:59:45.642,D5 5D 03 64 00 0E 00 00 00 F7 00 B3 00 B2 00 C6 00 00 01 14 00 01 99,3,100,0,14,0,247,179,178,198,256,20,0,1,153,235,False
2026-04-27 10:59:45.821,D5 5D 03 64 00 0E 00 00 00 F1 00 B3 00 B0 00 C6 00 00 01 14 00 01 99,3,100,0,14,0,241,179,176,198,256,20,0,1,153,88,False
2026-04-27 10:59:45.942,D5 5D 03 64 00 0A 00 00 00 FD 00 B3 00 AF 00 C8 00 00 01 14 00 01 99,3,100,0,10,0,253,179,175,200,256,20,0,1,153,116,False
2026-04-27 10:59:46.241,D5 5D 03 64 00 07 00 00 00 F7 00 B2 00 B0 00 C9 00 00 01 14 00 01 99,3,100,0,7,0,247,178,176,201,256,20,0,1,153,85,False
2026-04-27 10:59:46.301,D5 5D 03 64 00 13 00 00 00 F8 00 B3 00 B0 00 C9 00 00 01 14 00 01 99,3,100,0,19,0,248,179,176,201,256,20,0,1,153,25,False
